Euro,S&P 500,
1.2015,1300.25,
1.2078,1294.87,
1.203,1297.81,
1.2132,1305.93,
1.2139,1311.56,
1.2124,1309.04,
1.2258,1295.5,
1.2272,1296.62,
1.2216,1286.57,
1.2109,1288.12,
1.2091,1289.12,
1.2125,1285.33,
1.2107,1307.28,
1.2107,1309.93,
1.2106,1311.46,
1.2267,1311.28,
1.2274,1308.11,
1.2345,1301.74,
1.2326,1305.41,
1.234,1309.72,
1.2373,1310.61,
1.2412,1305.19,
1.2464,1313.21,
1.2525,1308.12,
1.2624,1312.25,
1.2607,1325.76,
1.2644,1324.66,
1.2639,1325.14,
1.2684,1322.85,
1.2733,1305.92,
1.272,1291.24,
1.2747,1294.5,
1.2799,1292.08,
1.2855,1270.32,
1.2888,1261.81,
1.2826,1267.03,
1.2817,1262.07,
1.2722,1256.58,
1.2795,1258.57,
1.275,1272.88,
1.285,1280.16,
1.2844,1259.87,
1.2747,1270.09,
1.2777,1285.71,
1.2739,1288.22,
1.2868,1265.29,
1.2833,1263.85,
1.2824,1256.15,
1.2912,1257.93,
1.2953,1252.3,
1.2828,1237.44,
1.2799,1223.69,
1.2648,1230.04,
1.2636,1256.16,
1.2587,1251.54,
1.2574,1240.13,
1.2631,1240.12,
1.2616,1252.2,
1.2623,1245.6,
1.2577,1244.5,
1.2568,1250.56,
1.2665,1239.2,
1.2582,1246,
1.2522,1272.87,
1.2554,1270.2,
1.2589,1280.19,
1.2532,1270.91,
1.2534,1274.08,
1.2779,1265.48,
1.2793,1267.34,
1.2726,1272.43,
1.2757,1258.6,
1.2822,1242.28,
1.2751,1236.2,
1.2754,1234.49,
1.2706,1236.86,
1.2673,1259.81,
1.2641,1249.13,
1.2529,1240.29,
1.25,1260.91,
1.256,1268.88,
1.2639,1268.4,
1.2684,1263.2,
1.263,1278.55,
1.2576,1276.66,
1.2628,1270.92,
1.2732,1277.41,
1.2748,1280.27,
1.2764,1279.36,
1.2778,1275.77,
1.2798,1271.48,
1.2779,1265.95,
1.2894,1271.81,
1.2867,1266.74,
1.2839,1268.21,
1.2888,1285.58,
1.2765,1295.43,
1.2757,1297.48,
1.2735,1302.3,
1.2788,1297.52,
1.2864,1298.82,
1.287,1292.99,
1.281,1296.06,
1.2914,1295.09,
1.2804,1301.78,
1.2794,1304.28,
1.276,1305.37,
1.2767,1303.82,
1.2784,1311.01,
1.2768,1313.25,
1.2825,1300.26,
1.2793,1294.02,
1.2833,1298.92,
1.281,1299.54,
1.2787,1313,
1.2757,1318.07,
1.2673,1316.28,
1.2699,1319.66,
1.2693,1321.18,
1.2708,1317.64,
1.2736,1325.18,
1.2648,1318.03,
1.2671,1314.78,
1.2683,1326.37,
1.2701,1336.35,
1.273,1336.59,
1.2796,1338.88,
1.2747,1335.85,
1.2687,1331.32,
1.2699,1334.11,
1.2697,1350.2,
1.2687,1353.22,
1.2744,1349.59,
1.2727,1350.66,
1.2687,1353.42,
1.2687,1349.95,
1.26,1362.83,
1.2541,1365.62,
1.2547,1369.06,
1.2537,1364.05,
1.2502,1365.8,
1.2518,1366.96,
1.2564,1368.6,
1.2516,1377.02,
1.2594,1377.38,
1.2613,1382.22,
1.2544,1389.08,
1.2565,1377.34,
1.2591,1377.93,
1.2669,1377.94,
1.2725,1367.81,
1.2717,1367.34,
1.2773,1364.3,
1.2771,1379.78,
1.278,1382.84,
1.2705,1385.72,
1.2715,1378.33,
1.2806,1380.9,
1.2775,1384.42,
1.2835,1393.22,
1.2861,1396.57,
1.281,1399.76,
1.2812,1401.2,
1.2808,1400.5,
1.2808,1402.81,
1.2823,1406.09,
1.281,1400.95,
1.2824,1381.96,
1.2928,1386.72,
1.3081,1399.48,
1.312,1400.63,
1.3162,1396.71,
1.3146,1409.12,
1.3261,1414.76,
1.3316,1412.9,
1.3327,1407.29,
1.3327,1409.84,
1.3307,1413.04,
1.3296,1411.56,
1.3215,1413.21,
1.3223,1425.49,
1.3233,1427.09,
1.3215,1422.48,
1.3174,1425.55,
1.3095,1423.53,
1.3073,1418.3,
1.3194,1410.76,
1.3183,1416.9,
1.3175,1426.84,
1.3131,1424.73,
1.3132,1418.3,
1.3125,1416.6,
1.3158,1418.34,
1.3197,1409.71,
1.3286,1412.84,
1.3169,1412.11,
1.3094,1414.85,
1.3005,1423.82,
1.3023,1430.73,
1.2995,1431.9,
1.294,1430.62,
1.2904,1426.37,
1.2926,1430.5,
1.2918,1422.95,
1.2948,1427.99,
1.2942,1440.13,
1.2968,1423.9,
1.2957,1422.18,
1.3025,1420.62,
1.2964,1428.82,
1.298,1438.24,
1.2909,1445.94,
1.2948,1448.39,
1.2954,1446.99,
1.2998,1448,
1.3021,1450.02,
1.296,1448.31,
1.2933,1438.06,
1.2969,1433.37,
1.302,1444.26,
1.3034,1455.3,
1.3005,1456.81,
1.2962,1455.54,
1.3024,1459.68,
1.3126,1457.63,
1.314,1456.38,
1.3137,1451.19,
1.3134,1449.37,
1.3126,1399.04,
1.3134,1406.82,
1.3164,1403.17,
1.3159,1387.17,
1.3246,1374.12,
1.323,1395.41,
1.3173,1391.97,
1.3182,1401.89,
1.3094,1402.84,
1.3108,1406.6,
1.3148,1377.95,
1.3129,1387.17,
1.3118,1392.28,
1.3186,1386.95,
1.3199,1402.06,
1.3227,1410.94,
1.3249,1435.04,
1.3307,1434.54,
1.3299,1436.11,
1.3291,1437.5,
1.3305,1428.61,
1.3359,1417.23,
1.3302,1422.53,
1.3336,1420.86,
1.3357,1424.55,
1.3331,1437.77,
1.3336,1439.37,
1.3374,1443.76,
1.3374,1444.61,
1.3363,1448.39,
1.3364,1438.87,
1.3426,1447.8,
1.338,1452.85,
1.3367,1468.33,
1.3436,1471.48,
1.3436,1472.5,
1.3484,1470.73,
1.3518,1484.35,
1.355,1480.93,
1.3569,1480.41,
1.3574,1495.42,
1.3605,1494.25,
1.3601,1494.07,
1.358,1482.37,
1.3622,1486.3,
1.3647,1495.92,
1.359,1502.39,
1.3625,1505.62,
1.366,1509.48,
1.36,1507.72,
1.3598,1512.58,
1.3566,1491.47,
1.3587,1505.85,
1.3616,1503.15,
1.3532,1501.19,
1.3549,1514.14,
1.3512,1512.75,
1.3519,1522.75,
1.3544,1525.1,
1.3603,1524.12,
1.3522,1522.28,
1.3494,1507.51,
1.3511,1515.73,
1.3457,1518.11,
1.3464,1530.23,
1.3482,1530.62,
1.3429,1536.34,
1.3452,1539.18,
1.3483,1530.95,
1.3419,1517.38,
1.3453,1490.72,
1.344,1507.67,
1.3488,1509.12,
1.3526,1493,
1.3492,1515.67,
1.3456,1522.97,
1.3359,1532.91,
1.3359,1531.05,
1.3325,1533.7,
1.3295,1512.84,
1.3311,1522.19,
1.3365,1502.56,
1.3401,1497.74,
1.3416,1492.89,
1.3426,1506.34,
1.3399,1505.71,
1.3438,1503.35,
1.345,1519.43,
1.3468,1524.87,
1.3433,1525.4,
1.3466,1530.44,
1.352,1531.85,
1.3627,1510.12,
1.3615,1518.76,
1.3592,1547.7,
1.3626,1552.5,
1.3623,1549.52,
1.3714,1549.37,
1.3757,1546.17,
1.3776,1553.08,
1.3788,1534.1,
1.3785,1541.57,
1.3782,1511.04,
1.3808,1518.09,
1.3811,1482.66,
1.3831,1458.95,
1.3817,1473.91,
1.3824,1455.27,
1.3711,1465.81,
1.373,1472.2,
1.3647,1433.06,
1.3681,1467.67,
1.3711,1476.71,
1.3682,1497.49,
1.3693,1453.09,
1.3785,1453.64,
1.3789,1452.92,
1.3747,1426.54,
1.3808,1406.7,
1.3701,1411.27,
1.3686,1445.94,
1.3624,1445.55,
1.3581,1447.12,
1.3479,1464.07,
1.3402,1462.5,
1.3492,1479.37,
1.3468,1466.79,
1.3483,1432.36,
1.3535,1463.76,
1.356,1457.64,
1.3645,1473.99,
1.3645,1489.42,
1.3626,1472.29,
1.3675,1478.55,
1.3648,1453.55,
1.3641,1451.7,
1.3641,1471.49,
1.3606,1471.56,
1.3669,1483.95,
1.3697,1484.25,
1.3772,1476.65,
1.3794,1519.78,
1.3837,1529.03,
1.3904,1518.75,
1.3885,1525.75,
1.3848,1517.73,
1.386,1517.21,
1.3869,1525.42,
1.395,1531.38,
1.4092,1526.75,
1.4076,1547.04,
1.4086,1546.63,
1.4128,1539.59,
1.4126,1542.84,
1.4138,1557.59,
1.4219,1552.58,
1.4229,1565.15,
1.4163,1562.47,
1.4135,1554.41,
1.4128,1561.8,
1.4154,1548.71,
1.4154,1538.53,
1.4092,1541.24,
1.4157,1540.08,
1.4228,1500.63,
1.4168,1506.33,
1.4216,1519.59,
1.4165,1515.88,
1.4208,1514.4,
1.4291,1535.28,
1.4263,1540.98,
1.4138,1531.02,
1.4248,1549.38,
1.4237,1508.44,
1.4299,1509.65,
1.439,1502.17,
1.4405,1520.27,
1.4424,1475.62,
1.4468,1474.77,
1.4435,1453.7,
1.4481,1439.18,
1.4469,1481.05,
1.4555,1470.58,
1.4667,1451.15,
1.4691,1458.74,
1.4665,1433.27,
1.4598,1439.7,
1.467,1416.77,
1.4639,1440.7,
1.4652,1407.22,
1.4658,1428.23,
1.4787,1469.02,
1.4829,1469.72,
1.4829,1481.14,
1.4825,1472.42,
1.4862,1462.79,
1.4817,1485.01,
1.475,1507.34,
1.4766,1504.66,
1.4688,1515.96,
1.4657,1477.65,
1.4759,1486.59,
1.4666,1488.41,
1.4638,1467.95,
1.4664,1445.9,
1.4714,1454.98,
1.4702,1453,
1.4702,1460.12,
1.4591,1484.46,
1.4433,1496.45,
1.4369,1497.66,
1.4392,1476.27,
1.4344,1478.49,
1.4353,1468.36,
1.4361,1447.16,
1.4409,1447.16,
1.45,1411.63,
1.4601,1416.18,
1.4718,1390.19,
1.4603,1409.13,
1.4738,1420.33,
1.4736,1401.02,
1.4786,1416.25,
1.4684,1380.95,
1.4717,1373.2,
