Scenario,S&P500,FTSE 100,CAC 40,Nikkei 225
1,6558.488911,7334.192192,15545.11696,340.7882472
2,6509.499968,7300.716451,15678.46365,347.2849456
3,6502.169844,7268.413471,15591.46768,343.9348289
4,6451.985187,7258.65196,15548.12346,340.0751936
5,6524.330066,7250.179723,15436.66084,338.7551482
6,6492.446291,7283.624133,15687.75615,343.643714
7,6479.569517,7274.376731,15491.40252,341.9375568
8,6544.321637,7257.699917,15569.01869,342.9262977
9,6475.886852,7301.760687,15606.5049,341.0867016
10,6517.428061,7177.505827,15330.78523,338.7515059
11,6483.232017,7174.909407,15388.81799,340.8416307
12,6481.582858,7248.957454,15540.48147,343.9679418
13,6421.293849,7131.463841,15150.90661,340.3663709
14,6579.785538,7228.477399,15458.01314,339.9054113
15,6452.871442,7308.584756,15631.03556,343.8515107
16,6567.220035,7283.913765,15773.06773,341.4275734
17,6525.392893,7313.981185,15536.22149,344.0258827
18,6501.096133,7219.136709,15559.36944,341.8424848
19,6551.994915,7289.623103,15570.29254,343.6459446
20,6492.672645,7298.553738,15592.6762,344.1656548
21,6516.695956,7196.646475,15558.58925,341.4198155
22,6503.117296,7293.47982,15621.42708,344.452118
23,6507.751814,7252.780561,15469.19426,340.1963867
24,6470.231922,7231.311085,15504.46588,343.1239647
25,6514.179835,7239.240847,15836.08875,339.2662395
26,6490.206906,7171.394939,15149.83055,342.4707611
27,6482.433676,7234.401675,15434.77326,339.5341123
28,6470.311647,7195.810106,15415.94214,337.4143832
29,6507.253927,7260.83089,15431.43102,346.49722
30,6455.543633,7205.45681,15376.66113,343.2291664
31,6508.420765,7302.838462,15785.46065,340.5984498
32,6406.994953,7217.004295,15314.8759,339.3606622
33,6510.450937,7265.285355,15587.9726,343.0146624
34,6440.234366,7225.783616,15605.21651,339.9928651
35,6537.16192,7267.108818,15275.60126,341.6431677
36,6501.47433,7267.808652,15680.58268,341.7656123
37,6516.36629,7256.533885,15557.91479,333.7833305
38,6463.995158,7224.140228,15609.42798,341.1032831
39,6553.731172,7329.431418,15715.4533,339.3977957
40,6551.694536,7250.244931,15612.60023,345.600005
41,6555.347773,7340.856483,15680.21677,346.650065
42,6518.836414,7288.329885,15651.0468,342.6098688
43,6450.054862,7162.544003,15271.48062,338.3069088
44,6553.623381,7242.433494,15624.05365,342.5184059
45,6503.175845,7295.405808,15592.87709,346.1378473
46,6515.658091,7219.682746,15579.34398,344.416376
47,6510.165111,7225.251369,15536.83669,341.5331324
48,6471.13622,7272.111258,15443.742,342.2396553
49,6490.250338,7197.686134,15499.30141,342.3085044
50,6508.095901,7314.688692,15597.92309,341.4602917
51,6527.51282,7255.982197,15638.18068,342.4909523
52,6555.311178,7274.813209,15506.77051,344.2662032
53,6476.447809,7284.538973,15765.29437,342.8193784
54,6453.521648,7226.069501,15503.03886,343.0097031
55,6459.298763,7253.67935,15505.82853,340.1334891
56,6528.074889,7302.112789,15660.073,341.9629218
57,6489.38642,7189.881136,15480.42773,342.4283161
58,6528.819075,7178.998152,15403.43999,339.0623202
59,6527.186254,7220.692102,15484.89801,341.990845
60,6519.740302,7304.964822,15503.53743,343.1428973
61,6514.556889,7247.517627,15659.8817,344.0469971
62,6494.629871,7297.737678,15545.9936,341.7196732
63,6488.449103,7261.006618,15551.88115,342.7167425
64,6451.878364,7171.880689,15178.74033,336.8635513
65,6470.218749,7174.952203,15359.52172,336.6544071
66,6538.212112,7243.146865,15525.46227,349.7145724
67,6447.95017,7112.847575,15182.0483,337.9035922
68,6549.538144,7278.265457,15666.7839,343.8967424
69,6518.270803,7282.733917,15565.66413,341.8971436
70,6512.155867,7316.541755,15733.33282,342.5493621
71,6509.802004,7286.352974,15697.32655,343.9733898
72,6493.749136,7287.176395,15690.71434,343.6301229
73,6485.549605,7287.214927,15547.57558,341.3442951
74,6536.475405,7199.122543,15522.46147,342.5145102
75,6548.531709,7322.943273,15881.26087,345.9309347
76,6533.736788,7207.738481,15596.95209,342.663043
77,6468.423944,7304.158368,15499.17042,340.6462334
78,6497.670346,7174.661085,15279.39957,344.1445719
79,6486.006278,7184.539942,15291.29883,339.224538
80,6477.975022,7171.427276,15262.40386,339.1254298
81,6474.326792,7251.398854,15557.12122,340.6428881
82,6482.294853,7175.520589,15545.03124,342.1912586
83,6508.457691,7287.324604,15512.82934,341.711167
84,6520.878142,7272.740449,15629.17655,345.7600019
85,6498.51896,7279.460839,15682.8253,339.7036359
86,6532.176109,7296.327248,15573.16995,346.4935071
87,6498.901135,7298.112899,15695.7235,343.6624398
88,6494.997989,7274.809792,15543.28827,347.8389044
89,6504.296781,7265.219046,15641.63694,343.8855052
90,6547.357837,7284.162365,15699.97747,341.9261375
91,6493.898048,7370.009577,15797.74992,344.2845303
92,6465.334167,7256.663148,15488.31396,342.1357666
93,6474.753968,7323.85322,15649.42472,345.0038363
94,6515.302279,7252.416519,15599.01993,339.4360011
95,6496.365241,7187.585325,15263.07123,344.6627362
96,6519.844049,7225.258041,15535.27391,342.4695168
97,6493.804137,7236.337148,15393.63435,341.9130759
98,6500.757317,7249.62265,15572.46578,340.867064
99,6444.588547,7177.769319,15212.47139,337.393024
100,6460.312828,7210.509299,15448.60786,341.0391736
101,6486.274659,7159.623603,15390.01169,339.8713766
102,6282.699216,7251.344907,15238.16938,342.8472982
103,6362.516034,7139.819667,15277.38871,331.3539595
104,6589.127118,7266.742992,15585.55263,343.6214111
105,6457.923317,7149.254175,15485.28077,335.2979495
106,6635.963247,7322.584676,15822.13697,347.3681197
107,6494.76227,7294.221858,15445.11332,344.8951824
108,6403.276448,7218.642488,15356.04191,338.4120651
109,6493.97116,7196.077603,15387.98784,341.4530609
110,6468.373981,7308.585147,15511.30481,342.3687548
111,6460.658471,7083.893686,15221.9482,332.0602527
112,6295.643652,7291.467987,15501.88449,344.2178981
113,6617.116624,7132.686569,15687.26306,330.5499717
114,6383.597239,7183.15482,15311.12047,339.6402666
115,6453.61146,7351.859276,15637.88708,342.8059427
116,6598.490345,7284.914033,15476.03093,345.9350698
117,6566.854028,7255.824737,15857.45314,347.1980103
118,6564.906365,7342.79453,15476.52692,339.0019131
119,6455.67606,7396.897443,15709.7041,351.2056065
120,6532.701547,7238.981066,15530.38795,335.4536405
121,6537.312559,7232.906859,15486.38664,345.5724366
122,6633.996818,7299.008992,15767.87908,340.7044512
123,6483.248172,7346.920571,15514.77069,347.6610483
124,6437.497393,7176.040291,15376.83992,337.2094303
125,6368.145157,7165.79801,15336.67823,342.6366428
126,6486.738529,7172.64011,15545.02314,335.4003919
127,6448.665368,7304.453737,15546.81974,342.2970806
128,6567.082076,7255.030803,15433.29836,342.0183866
129,6511.053062,7121.508974,15532.35422,340.1063262
130,6388.215876,7323.125161,15539.49401,346.7538713
131,6378.711012,7172.79525,15406.90272,339.1668397
132,6516.445737,7260.923725,15586.93115,340.0291755
133,6554.915054,7283.414252,15553.17358,346.1911576
134,6517.389205,7287.513193,15498.19939,342.4404842
135,6645.801777,7219.591445,15497.09888,344.7139426
136,6483.456139,7320.556813,15708.56354,343.9739423
137,6550.443019,7192.407391,15566.31162,343.8309077
138,6567.220276,7252.677988,15626.31763,344.3673009
139,6286.26258,7262.649237,15446.62625,334.368877
140,6488.286487,6915.57777,14813.00955,335.3006923
141,6345.683716,7317.331269,15682.05455,345.9372321
142,6507.643454,7238.66827,15347.29103,335.3253727
143,6494.15597,7166.435199,15688.21065,338.8160964
144,6531.404544,7307.287551,15827.56374,348.7416633
145,6496.053994,7380.225191,15569.72115,345.6941471
146,6372.940328,7206.139354,15389.97286,334.2824542
147,6361.554216,7186.255515,15290.60344,344.6419553
148,6497.115815,7208.121932,15475.8086,337.4580276
149,6396.733756,7273.890832,15652.02683,340.8689259
150,6393.832812,7184.204868,15282.91612,332.64869
151,6362.40057,7287.011123,15638.71998,341.9856397
152,6320.498378,7251.155384,15203.01532,325.2184827
153,6877.456103,7125.759621,15431.52815,358.658854
154,6489.140874,7307.002747,15908.27001,342.0220661
155,6619.500735,7364.540238,15679.31508,343.7232632
156,6541.692354,7409.509913,15507.90774,348.0479058
157,6559.272996,7313.053226,15814.05741,344.532051
158,6524.839805,7287.922176,15639.33781,345.2797238
159,6525.483941,7289.408562,15648.78579,339.4370509
160,6495.209287,7273.212007,15401.8583,344.988425
161,6532.147559,7267.637809,15509.68794,345.4518184
162,6510.736947,7252.335172,15543.8797,338.9070671
163,6546.095296,7213.228782,15462.1373,340.1056528
164,6581.962835,7348.930101,15797.27083,346.0672344
165,6404.432857,7251.745974,15418.30484,339.6899201
166,6510.447253,7243.010455,15510.28384,342.5128523
167,6505.294231,7290.120801,15675.14917,341.2685923
168,6551.506753,7282.016452,15609.15552,344.9891565
169,6445.148706,7224.980333,15558.64224,340.5745363
170,6486.794687,7242.562849,15689.62048,342.7577372
171,6597.879018,7303.89733,15698.23651,339.7172039
172,6553.388585,7389.501234,15667.85533,347.0054254
173,6502.849164,7279.756558,15571.17386,342.68859
174,6540.269739,7272.175484,15489.20897,341.71745
175,6526.790331,7261.479226,15772.67523,339.7455605
176,6482.316925,7329.944799,15491.53742,342.5612231
177,6436.299571,7188.973269,15195.61008,339.8993865
178,6502.685075,7233.939914,15428.87628,335.7876501
179,6585.073101,7265.317096,15753.68285,348.8982844
180,6516.321404,7283.623659,15672.39604,346.2467067
181,6481.172483,7304.799346,15409.11896,340.6782889
182,6567.281153,7224.309852,15861.45528,339.3228331
183,6506.365758,7303.428312,15585.45649,348.4246759
184,6508.940137,7347.600086,15690.61371,344.1408241
185,6473.795613,7229.56726,15545.5173,341.9387394
186,6537.990211,7273.803821,15594.86968,341.5718969
187,6505.050932,7264.275621,15587.05238,343.4542565
188,6491.073753,7221.41721,15595.52008,340.1614649
189,6493.610091,7318.100397,15535.76892,345.2446079
190,6479.721172,7259.394685,15567.83898,338.3580242
191,6541.290675,7260.571248,15604.35314,343.9562884
192,6471.084827,7274.057607,15606.91054,343.6926276
193,6488.995548,7242.263012,15519.83906,341.0027999
194,6454.064627,7286.795942,15473.49841,339.704586
195,6444.724092,7238.393562,15488.50645,340.5230885
196,6482.917251,7156.466719,15274.41073,335.1186728
197,6591.487432,7224.195023,15691.26629,345.3459651
198,6496.140137,7378.416864,15590.22159,347.3234588
199,6561.361463,7201.454018,15686.17862,338.7277897
200,6492.702324,7400.40625,15728.09191,342.2996453
201,6528.773962,7278.060037,15670.36213,342.9276034
202,6520.291324,7319.476646,15578.84411,344.7363072
203,6495.474216,7303.537628,15621.41615,342.3102896
204,6477.300144,7255.420584,15441.96349,342.5941472
205,6442.897161,7088.39566,15241.95018,344.1457564
206,6491.182823,7249.456338,15405.14691,333.9152322
207,6542.799997,7282.745634,15706.18197,349.412126
208,6466.066496,7243.593925,15476.0348,342.4535026
209,6520.477543,7258.367191,15494.89442,336.6902327
210,6540.17668,7234.469353,15668.50946,344.3697248
211,6571.348962,7292.33745,15691.55014,345.7846193
212,6496.491651,7318.374528,15566.86376,340.5548796
213,6510.106352,7351.482514,15668.01535,345.7724281
214,6511.173903,7279.291479,15585.66878,341.9215803
215,6526.318997,7232.602525,15546.50315,342.5040668
216,6503.059753,7252.660146,15519.18251,341.1320945
217,6458.693422,7262.066461,15490.76978,343.4404831
218,6519.278196,7247.847046,15593.49383,341.2836027
219,6496.465789,7260.752876,15655.86295,342.7588182
220,6539.730831,7261.956559,15566.79709,342.5576255
221,6492.196373,7275.67766,15630.86342,345.4223408
222,6499.437882,7281.761219,15602.27208,343.0841905
223,6482.029542,7231.814794,15609.68076,342.7267552
224,6506.552858,7248.150471,15605.47983,338.9990963
225,6560.69765,7244.207571,15530.71419,344.9686824
226,6481.916633,7227.783216,15449.35471,341.2538043
227,6493.7444,7194.545536,15405.16059,342.8950481
228,6404.832306,7214.587636,15248.31925,340.1484027
229,6485.886645,7210.072443,15588.3386,338.6783915
230,6478.77957,7201.491711,15295.19424,339.5446626
231,6522.544666,7251.403761,15618.05731,341.7854006
232,6339.625733,7216.259763,15370.87563,340.0250922
233,6548.961456,7241.446386,15774.4672,341.568543
234,6535.376537,7283.301226,15597.13097,342.3612335
235,6555.807097,7287.343065,15759.39509,340.594807
236,6458.880487,7268.258898,15465.66035,343.8077147
237,6452.396809,7179.310666,15316.71885,341.9448265
238,6551.500785,7295.82913,15648.15826,341.8223111
239,6477.921716,7257.692023,15521.72532,342.1887242
240,6419.419544,7119.726155,15240.57569,339.4226318
241,6505.900825,7275.118227,15695.07461,343.5310744
242,6441.768764,7297.104336,15572.07449,344.4819099
243,6451.426654,7130.97595,15289.46411,338.3962679
244,6510.647652,7272.854365,15577.51231,340.4122112
245,6411.684992,7193.537007,15409.62874,337.0078316
246,6478.226056,7220.041596,15706.51277,342.4391594
247,6635.716487,7329.185205,15731.5777,342.5595344
248,6549.959779,7341.611365,15624.77939,347.4427463
249,6537.771792,7271.580709,15466.13583,341.7455884
250,6564.958923,7300.382423,15860.3923,343.435703
251,6526.448122,7342.95926,15663.3389,346.118397
252,6494.200028,7279.949025,15633.47163,343.4286421
253,6483.003929,7228.416873,15459.69348,340.4491985
254,6524.702403,7263.285757,15495.97368,340.3874643
255,6486.549218,7213.344606,15496.44236,343.922974
256,6502.237249,7214.954497,15520.75259,341.3248145
257,6559.462548,7244.376553,15902.35512,339.6793956
258,6515.546661,7322.605475,15528.42741,347.8225306
259,6558.288189,7313.214504,15648.1741,345.5598951
260,6488.342442,7264.171781,15599.0072,341.4114763
261,6484.901216,7295.961721,15644.29817,342.3446974
262,6434.454924,7222.852756,15547.23623,340.4908571
263,6488.122737,7258.832765,15460.16888,341.3445642
264,6521.954159,7236.229697,15526.89405,344.2658626
265,6533.850958,7266.070606,15666.25918,341.1545661
266,6546.035466,7291.036624,15610.64129,347.2654881
267,6515.409532,7296.456178,15459.17736,342.4462015
268,6508.770456,7287.233777,15674.54199,341.9580029
269,6523.730092,7232.236811,15461.09934,343.714115
270,6464.817756,7218.811688,15450.39658,336.5990507
271,6506.070264,7229.842975,15477.29072,341.7241675
272,6525.51587,7219.276826,15517.0618,340.8743632
273,6511.010236,7270.518738,15566.74977,345.6332588
274,6526.78199,7256.334606,15590.04112,341.8810668
275,6475.368302,7281.59175,15669.27455,341.8376451
276,6453.80711,7188.562289,15354.55528,339.9806547
277,6520.071481,7232.909464,15505.40481,336.095539
278,6456.27558,7310.610422,15589.56329,350.5915062
279,6514.680862,7254.031157,15521.74567,339.9189173
280,6540.737665,7255.380804,15666.16727,344.9715205
281,6526.854941,7199.692254,15430.52952,342.375367
282,6461.985206,7269.203049,15451.10843,342.8894453
283,6544.211983,7259.437643,15634.81042,338.9717364
284,6485.665219,7270.160373,15496.13802,341.4638108
285,6480.044404,7251.636902,15305.64019,342.7648977
286,6425.603062,7158.059227,15583.36137,340.0042583
287,6438.323805,7212.841435,15527.95133,341.5107663
288,6449.408171,7104.93443,14995.24393,339.1363592
289,6303.032465,7077.706998,15239.86749,338.7557385
290,6581.199646,7224.821188,15709.69494,342.9515118
291,6501.294725,7248.674974,15583.85065,338.485932
292,6619.695859,7313.160903,15895.07412,343.9919178
293,6454.174394,7301.588657,15343.73641,344.3337071
294,6514.599445,7146.163035,15686.47481,339.8769466
295,6307.701664,7190.863125,15160.61884,341.3602609
296,6513.39385,7185.93779,15451.10141,340.0322978
297,6590.934087,7322.303696,15687.99771,341.6949862
298,6575.145826,7348.440468,15720.64798,343.3080025
299,6445.209077,7241.611204,15447.66757,343.4455927
300,6549.98613,7274.385262,15825.43996,342.0057756
301,6493.030753,7224.032856,15395.6631,341.1328725
302,6327.634771,7317.63765,15354.06441,343.8036423
303,6547.28826,7186.03853,15744.05883,339.3668408
